vboxuser@ubuntu:~/contribs/ssb2-bench$ ./run_query_postgres.sh 

tpch 2g results.

Query      	 tpch_timing 	 ssb2_timing
----------------|------------|---------------
Q01         	 7937.289   	 8185.801  
Q02         	 1454.096   	 0.413     
Q03         	 1639.516   	 14081.395 
Q04         	 509.132    	 6842.587  
Q05         	 679.051    	 2506.933  
Q06         	 1058.056   	 2301.129  
Q07         	 1690.032   	 2344.790  
Q08         	 2572.074   	 2644.363  
Q09         	 1988.107   	 3955.660  
Q10         	 1541.318   	 2787.497  
Q11         	 352.494    	 1.508     
Q12         	 1456.643   	 2559.206  
Q13         	 1674.260   	 17881.574 
Q14         	 988.197    	 2491.849  
Q15         	 0.925      	 1.544     
Q16         	 718.447    	 656.672   
Q17         	 35.118     	 1.055     
Q18         	 10368.330  	 22191.104 
Q19         	 1330.026   	 2258.235  
Q20         	 6138.033   	 0.768     
Q21         	 1584.452   	 2786.270  
Q22         	 1037828.994 	 2927.044  

